batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Kamran Akmal †,22,17,3,1,129.41,lbw b Patel,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,104,65,6,7,160.00,run out (Bopara/Mohammad Amir),2017,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,9,13,2,0,69.23,b Anwar Ali,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,40,32,6,1,125.00,lbw b Hassan Khan,2017,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,0,1,0,0,0.00,b Mohammad Nawaz,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,45,32,5,2,140.62,c †Haddin b Imran Khalid,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,107,61,11,7,175.40,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,49,36,5,3,136.11,c Rossouw b Mohammad Nawaz,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,0,3,0,0,0.00,b Rahat Ali,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,43,26,5,2,165.38,b Delport,2020,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Kamran Akmal †,77,27,5,8,285.18,c Mukhtar Ahmed b Bopara,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Kamran Akmal †,1,9,0,0,11.11,lbw b Patel,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Kamran Akmal †,101,55,13,4,183.63,c Roy b Fawad Ahmed,2020,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,0,2,0,0,0.00,b Shaheen Shah Afridi,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,0,5,0,0,0.00,b Aamer Yamin,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,15,9,3,0,166.66,c Vince b Sohail Tanvir,2020,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
Kamran Akmal †,7,8,1,0,87.50,c sub (PD Salt) b Muhammad Musa,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,14,9,2,0,155.55,c Sohail Akhtar b Shaheen Shah Afridi,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,4,3,1,0,133.33,c Mohammad Ilyas b Mohammad Irfan,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Multan Sultans
Kamran Akmal †,5,10,1,0,50.00,c Agha Salman b Salman Mirza,2021,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,4,8,1,0,50.00,c Babar Azam b Aamer Yamin,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,37,24,5,2,154.16,lbw b Usman Qadir,2021,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Kamran Akmal †,0,5,0,0,0.00,b Mohammad Ilyas,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Kamran Akmal †,23,12,2,2,191.66,c Roy b Mohammad Hasnain,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,19,12,1,2,158.33,c Shadab Khan b Zafar Gohar,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,3,8,0,0,37.50,c Cutting b Usman Shinwari,2021,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,37,21,4,1,176.19,c Faheem Ashraf b Zafar Gohar,2020,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,72,50,7,4,144.00,b Mohammad Hasnain,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,3,4,0,0,75.00,lbw b Mohammad Wasim,2021,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Kamran Akmal †,3,6,0,0,50.00,b Rahat Ali,2019,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,12,8,1,1,150.00,c Haris Rauf b Patel,2020,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
