batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Anwar Ali,20,10,3,0,200.00,run out (Malan/Hasan Ali),2017,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,1,5,0,0,20.00,c Sammy b Wahab Riaz,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Anwar Ali,20,24,2,0,83.33,c Iftikhar Ahmed b Jordan,2017,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Anwar Ali,13,10,1,1,130.00,c Khalid Latif b Russell,2016,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,4,4,0,0,100.00,c Shaheen Shah Afridi b Yasir Shah,2018,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,2,3,0,0,66.66,c Duminy b Faheem Ashraf,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Anwar Ali,28,14,1,3,200.00,not out,2018,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Anwar Ali,12,4,1,1,300.00,not out,2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Anwar Ali,1,2,0,0,50.00,b Wiese,2019,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Anwar Ali,14,8,1,1,175.00,c sub (WL Madsen) b Bilawal Bhatti,2020,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Anwar Ali,27,6,0,4,450.00,not out,2019,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
Anwar Ali,1,1,0,0,100.00,not out,2021,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Anwar Ali,4,5,0,0,80.00,c Mohammad Hafeez b Muhammad Faizan,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Anwar Ali,2,3,0,0,66.66,c †Dunk b Usman Shinwari,2019,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Anwar Ali,12,12,0,1,100.00,c Aamer Yamin b Akif Javed,2023,"National Stadium, Karachi",Multan Sultans,Karachi Kings
Anwar Ali,1,1,0,0,100.00,run out (Rutherford/†Kamran Akmal),2022,"Gaddafi Stadium, Lahore",Multan Sultans,Peshawar Zalmi
Anwar Ali,5,9,0,0,55.55,c Fakhar Zaman b Zaman Khan,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Anwar Ali,17,12,1,1,141.66,not out,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Anwar Ali,25,14,1,2,178.57,not out,2024,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Anwar Ali,24,8,2,2,300.00,not out,2023,Rawalpindi Cricket Stadium,Multan Sultans,Peshawar Zalmi
Anwar Ali,1,1,0,0,100.00,not out,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Anwar Ali,1,2,0,0,50.00,b Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Anwar Ali,1,3,0,0,33.33,c & b Zaman Khan,2024,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Anwar Ali,14,6,2,0,233.33,not out,2024,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Tymal Mills,0,1,0,0,0.00,lbw b Mohammad Irfan,2017,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Tymal Mills,5,2,1,0,250.00,not out,2018,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators
Tymal Mills,1,1,0,0,100.00,not out,2017,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Tymal Mills,4,5,0,0,80.00,not out,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Tymal Mills,0,1,0,0,0.00,not out,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
Tymal Mills,1,1,0,0,100.00,not out,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Jason Roy,27,14,5,1,192.85,b Zulfiqar Babar,2017,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Jason Roy,60,51,6,1,117.64,not out,2017,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Jason Roy,9,6,2,0,150.00,c Jordan b Hasan Ali,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Jason Roy,26,16,2,1,162.50,b Sohail Khan,2017,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Jason Roy,51,27,6,3,188.88,b Hassan Khan,2017,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Jason Roy,36,26,2,3,138.46,lbw b Narine,2018,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Jason Roy,17,22,3,0,77.27,b Amad Butt,2018,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Jason Roy,0,2,0,0,0.00,lbw b Muhammad Musa,2020,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Jason Roy,73,57,6,1,128.07,not out,2020,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Jason Roy,17,20,1,0,85.00,run out (Imad Wasim),2020,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Jason Roy,50,38,6,2,131.57,c Asif Ali b Ahmed Safi Abdullah,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United
Jason Roy,30,27,6,0,111.11,c Ali b Bilawal Bhatti,2020,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Jason Roy,12,11,1,0,109.09,b Patel,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Jason Roy,45,26,5,2,173.07,b Yasir Shah,2020,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Jason Roy,6,13,0,0,46.15,b Patel,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Jason Roy,27,18,3,1,150.00,c Miller b Ihsanullah,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Jason Roy,0,2,0,0,0.00,lbw b Imad Wasim,2023,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Jason Roy,14,23,2,0,60.86,b Usman Qadir,2023,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Jason Roy,48,30,1,5,160.00,b Rashid Khan,2023,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Jason Roy,75,48,9,2,156.25,c Saim Ayub b Salman Irshad,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Jason Roy,5,5,0,0,100.00,lbw b Abrar Ahmed,2023,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Jason Roy,116,57,11,8,203.50,c Haris Rauf b Wiese,2022,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Jason Roy,24,19,4,0,126.31,b Sikandar Raza,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Jason Roy,54,27,10,1,200.00,b Shadab Khan,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
Jason Roy,37,18,6,1,205.55,b Hunain Shah,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
Jason Roy,0,2,0,0,0.00,c †Salt b Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Jason Roy,13,9,2,0,144.44,c Wahab Riaz b Livingstone,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Jason Roy,12,15,1,1,80.00,b Mohammad Ali,2024,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Jason Roy,38,19,7,1,200.00,c Muhammad Amir Barki b Willey,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Multan Sultans
Jason Roy,52,31,2,4,167.74,c & b Shoaib Malik,2024,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Jason Roy,145,63,20,5,230.15,not out,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Jason Roy,82,64,11,0,128.12,c Umaid Asif b Mir Hamza,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Karachi Kings
Jason Roy,6,6,0,1,100.00,c Khushdil Shah b Anwar Ali,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
Jason Roy,15,8,3,0,187.50,c Hasan Ali b Muzarabani,2024,Rawalpindi Cricket Stadium,Quetta Gladiators,Karachi Kings
Jason Roy,16,16,2,0,100.00,c †Haseebullah Khan b Wood,2024,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Jason Roy,18,14,4,0,128.57,c †Hope b Jahandad Khan,2024,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Jason Roy,3,7,0,0,42.85,lbw b Willey,2024,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
Jason Roy,1,3,0,0,33.33,c Faheem Ashraf b Naseem Shah,2024,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Brendon McCullum (c),20,11,2,1,181.81,c Perera b Zulfiqar Babar,2017,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Brendon McCullum (c),0,5,0,0,0.00,c Sohail Tanvir b Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Brendon McCullum (c),25,10,4,1,250.00,c Billings b Rumman Raees,2017,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Brendon McCullum (c),30,18,3,2,166.66,lbw b Mohammad Nawaz,2018,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Brendon McCullum (c),0,3,0,0,0.00,c Malan b Mohammad Asghar,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Brendon McCullum (c),0,2,0,0,0.00,b Imad Wasim,2017,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Brendon McCullum (c),44,30,5,2,146.66,lbw b Imad Wasim,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Brendon McCullum (c),34,49,2,1,69.38,run out (Mohammad Sami),2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Brendon McCullum (c),11,18,2,0,61.11,c Misbah-ul-Haq b Rumman Raees,2017,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Brendon McCullum (c),15,15,0,2,100.00,c & b Hasan Ali,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Brendon McCullum (c),6,3,1,0,200.00,run out (Mohammad Asghar),2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Brendon McCullum (c),31,28,5,0,110.71,c Babar Azam b Usama Mir,2017,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Brendon McCullum (c),33,12,2,3,275.00,not out,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Brendon McCullum (c),35,35,2,1,100.00,not out,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Brendon McCullum (c),15,17,0,1,88.23,c Simmons b Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Brendon McCullum (c),5,11,0,0,45.45,st †Sarfaraz Ahmed b Hassan Khan,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Brendon McCullum (c),7,5,0,1,140.00,b Sameen Gul,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,11,12,1,0,91.66,run out (Asad Shafiq/†Sarfaraz Ahmed),2017,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,49,30,1,4,163.33,c Ahmed Shehzad b Pollard,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Fakhar Zaman,5,8,0,0,62.50,c & b Mohammad Sami,2017,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,1,3,0,0,33.33,c & b Archer,2018,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,33,19,4,1,173.68,c †Kamran Akmal b Jordan,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,56,36,5,3,155.55,c Usman Shinwari b Usama Mir,2017,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Fakhar Zaman,19,15,2,0,126.66,c Bopara b Shahid Afridi,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Fakhar Zaman,47,31,6,1,151.61,c Ahmed Shehzad b Zulfiqar Babar,2017,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,0,1,0,0,0.00,lbw b Patel,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,6,5,1,0,120.00,lbw b Shadab Khan,2017,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,30,17,4,2,176.47,c Hasan Ali b Dawson,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,0,2,0,0,0.00,c Wahab Riaz b Mohammad Hafeez,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,19,15,2,1,126.66,c Imad Wasim b Sohail Khan,2017,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Fakhar Zaman,34,24,2,2,141.66,c †Ronchi b Duminy,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,16,11,3,0,145.45,c Pollard b Imran Tahir,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Fakhar Zaman,28,26,1,2,107.69,c Ingram b Imad Wasim,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Fakhar Zaman,94,50,9,6,188.00,c Hassan Khan b Anwar Ali,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,6,11,1,0,54.54,b Hasan Ali,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,65,44,6,3,147.72,c Rizwan Hussain b Shadab Khan,2019,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,19,14,2,1,135.71,c Khushdil Shah b Ali,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,26,28,2,0,92.85,c †Mohammad Rizwan b Sikandar Raza,2019,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Fakhar Zaman,6,8,1,0,75.00,c Umaid Asif b Hasan Ali,2019,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,33,26,5,0,126.92,b Shadab Khan,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Fakhar Zaman,63,35,7,3,180.00,c Evans b Junaid Khan,2019,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans
Fakhar Zaman,3,4,0,0,75.00,c Umar Akmal b Mohammad Nawaz,2019,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,22,19,1,1,115.78,c Livingstone b Gregory,2020,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,15,15,1,1,100.00,c Shoaib Malik b Wahab Riaz,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,82,52,8,2,157.69,not out,2021,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,15,14,2,0,107.14,c Anwar Ali b Mohammad Nawaz,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,9,11,1,0,81.81,c †Mohammad Rizwan b Shahnawaz Dahani,2021,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Fakhar Zaman,20,13,3,1,153.84,b Mohammad Nawaz,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,83,54,8,4,153.70,c Babar Azam b Christian,2021,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Fakhar Zaman,0,5,0,0,0.00,b Mohammad Amir,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Fakhar Zaman,63,46,4,3,136.95,c Yasir Shah b Wahab Riaz,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,17,13,3,0,130.76,b Umaid Asif,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Fakhar Zaman,9,15,2,0,60.00,b Faheem Ashraf,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
Fakhar Zaman,1,3,0,0,33.33,b Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,57,35,7,2,162.85,st †Zeeshan Ashraf b Usman Qadir,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,44,37,4,2,118.91,c Iftikhar Ahmed b Muhammad Musa,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
Fakhar Zaman,6,7,1,0,85.71,c †Imam-ul-Haq b Mahmood,2020,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,46,36,4,2,127.77,c Sohail Tanvir b Lyth,2020,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Fakhar Zaman,27,24,4,0,112.50,c Iftikhar Ahmed b Umaid Asif,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Fakhar Zaman,12,9,1,0,133.33,b Mohammad Hasnain,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,19,26,0,2,73.07,b Imad Wasim,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
Fakhar Zaman,13,15,1,0,86.66,c †Mohammad Rizwan b Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
Fakhar Zaman,66,42,3,5,157.14,c Hosein b Usama Mir,2023,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Fakhar Zaman,76,35,11,2,217.14,c Imran Khan b Ihsanullah,2022,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Fakhar Zaman,106,60,12,4,176.66,c Imad Wasim b Umaid Asif,2022,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Fakhar Zaman,66,38,6,3,173.68,c Cutting b Hussain Talat,2022,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,15,12,2,0,125.00,b Aamer Yamin,2023,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Fakhar Zaman,22,14,3,1,157.14,c †Sarfaraz Ahmed b Smith,2023,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,38,27,4,1,140.74,c Mubasir Khan b Shadab Khan,2022,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
Fakhar Zaman,13,13,1,0,100.00,c Faheem Ashraf b Shadab Khan,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Fakhar Zaman,70,45,3,3,155.55,b Ghulam Mudassar,2022,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,6,9,0,0,66.66,c Roy b Hosein,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,60,37,5,2,162.16,c Shahnawaz Dahani b Imran Tahir,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,96,45,3,10,213.33,c Rajapaksa b Powell,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,36,23,5,1,156.52,b Curran,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Fakhar Zaman,41,36,2,2,113.88,c †Mohammad Rizwan b Abbas Afridi,2024,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Fakhar Zaman,53,42,6,0,126.19,c Iftikhar Ahmed b Noor Ahmad,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,4,3,1,0,133.33,run out (Umaid Asif),2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Fakhar Zaman,6,9,1,0,66.66,c Shan Masood b Mir Hamza,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Fakhar Zaman,0,3,0,0,0.00,c Usama Mir b Sameen Gul,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,4,8,0,0,50.00,b Wood,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,23,16,3,0,143.75,b Aftab Ibrahim,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,11,11,2,0,100.00,c Azmatullah Omarzai b Wahab Riaz,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,1,5,0,0,20.00,c Jordan b Mir Hamza,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Fakhar Zaman,51,41,4,1,124.39,c Faheem Ashraf b Zahir Khan,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Fakhar Zaman,115,57,8,8,201.75,c Mohammad Wasim b Hasan Ali,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,0,1,0,0,0.00,c †Kamran Akmal b Shoaib Malik,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,63,45,2,4,140.00,lbw b Willey,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,13,11,1,1,118.18,c Cutting b Mohammad Umar,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Fakhar Zaman,6,7,1,0,85.71,b Anwar Ali,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,10,10,1,0,100.00,c Munro b Rumman Raees,2024,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
Fakhar Zaman,1,3,0,0,33.33,c Waqas Maqsood b Dawson,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Fakhar Zaman,3,6,0,0,50.00,c Shahnawaz Dahani b Asif Afridi,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,6,5,1,0,120.00,b Azmatullah Omarzai,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Fakhar Zaman,39,34,4,1,114.70,c Usman Khan b Usama Mir,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Fakhar Zaman,54,35,5,2,154.28,run out (Irfan Khan),2024,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Umar Akmal,0,4,0,0,0.00,c Perera b Anwar Ali,2017,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Umar Akmal,35,26,3,2,134.61,c Billings b Watson,2017,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Umar Akmal,1,2,0,0,50.00,lbw b Hassan Khan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Umar Akmal,21,26,4,0,80.76,c †Kamran Akmal b Mohammad Asghar,2016,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Umar Akmal,0,3,0,0,0.00,c Mohammad Hafeez b Hasan Ali,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Umar Akmal,25,16,3,1,156.25,c Bopara b Usama Mir,2017,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Umar Akmal,6,5,1,0,120.00,st †Mohammad Rizwan b Shahid Afridi,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Umar Akmal,93,40,6,8,232.50,c Akbar-ur-Rehman b Anwar Ali,2016,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Umar Akmal,23,23,0,2,100.00,lbw b Imran Khalid,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Umar Akmal,17,14,1,1,121.42,c Mahmudullah b Hassan Khan,2017,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Umar Akmal,4,4,1,0,100.00,lbw b Patel,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Umar Akmal,19,19,2,0,100.00,c Shakib Al Hasan b Bopara,2016,Sharjah Cricket Stadium,Lahore Qalandars,Karachi Kings
Umar Akmal,66,42,8,3,157.14,lbw b Shadab Khan,2017,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Umar Akmal,15,21,1,0,71.42,run out (Umaid Asif/Mohammad Hafeez),2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Umar Akmal,1,5,0,0,20.00,lbw b Shakib Al Hasan,2017,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Umar Akmal,52,31,6,0,167.74,not out,2016,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Umar Akmal,20,22,0,1,90.90,c Babar Azam b Usama Mir,2017,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Umar Akmal,55,25,4,4,220.00,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Umar Akmal,72,49,5,3,146.93,not out,2016,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Umar Akmal,75,50,7,3,150.00,not out,2019,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Umar Akmal,44,28,5,2,157.14,c & b Delport,2019,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United
Umar Akmal,17,18,1,0,94.44,not out,2019,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Umar Akmal,9,13,1,0,69.23,c †Gauhar Ali b Haris Rauf,2019,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Umar Akmal,55,37,0,5,148.64,c Livingstone b Aamer Yamin,2019,Sharjah Cricket Stadium,Quetta Gladiators,Karachi Kings
Umar Akmal,1,2,0,0,50.00,b Lamichhane,2019,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Umar Akmal,0,2,0,0,0.00,c sub (Shan Masood) b Mohammad Ilyas,2019,Dubai International Cricket Stadium,Quetta Gladiators,Multan Sultans
Umar Akmal,27,17,1,3,158.82,b Amad Butt,2019,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
Umar Akmal,27,20,0,3,135.00,c Aamer Yamin b Umer Khan,2019,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Umar Akmal,22,15,3,0,146.66,c Imam-ul-Haq b Wahab Riaz,2019,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Umar Akmal,11,17,1,0,64.70,c †Mohammad Rizwan b Ihsanullah,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Umar Akmal,4,4,1,0,100.00,b Imad Wasim,2023,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Umar Akmal,23,8,0,3,287.50,c Asif Ali b Mohammad Wasim,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
Umar Akmal,25,19,3,1,131.57,c Shaheen Shah Afridi b Wiese,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
